GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JailQ,com.example.JailQ.Entidades,Carcel,0,38,0,0,0,16,0,11,0,11
JailQ,com.example.JailQ.Entidades,TipoCuenta,0,21,0,0,0,4,0,1,0,1
JailQ,com.example.JailQ.Entidades,Delito,0,75,0,0,0,13,0,1,0,1
JailQ,com.example.JailQ.Entidades,Preso,0,89,1,3,0,34,1,21,0,20
JailQ,com.example.JailQ.Entidades,Cuenta,0,45,0,0,0,19,0,13,0,13
JailQ,com.example.JailQ.Service,CuentaService,5,193,3,29,1,46,3,21,0,8
JailQ,com.example.JailQ.Service,PresoService,59,254,10,34,9,56,12,24,5,9
JailQ,com.example.JailQ.Service,CarcelService,0,172,3,19,0,39,3,17,0,9
JailQ,com.example.JailQ,JailQApplication,17,3,0,0,6,1,2,1,2,1
JailQ,com.example.JailQ.GUI,JailQMainGUI.new WindowAdapter() {...},0,17,0,0,0,4,0,2,0,2
JailQ,com.example.JailQ.GUI,HttpClientSingleton,0,26,1,3,0,10,1,4,0,3
JailQ,com.example.JailQ.GUI,LoginDialog,76,345,6,6,19,74,8,7,4,5
JailQ,com.example.JailQ.GUI,ListadoPresosGUI,142,702,15,27,48,159,15,22,2,14
JailQ,com.example.JailQ.GUI,GestionCuentasGUI,7,429,0,2,2,84,0,7,0,6
JailQ,com.example.JailQ.GUI,JailQMainGUI,76,1051,14,32,14,213,15,34,2,23
JailQ,com.example.JailQ.GUI,GestionPresosGUI.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
JailQ,com.example.JailQ.GUI,EstadisticasAvanzadasGUI.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
JailQ,com.example.JailQ.GUI,SessionManager,0,53,1,5,0,18,1,9,0,7
JailQ,com.example.JailQ.GUI,EstadisticasAvanzadasGUI.CarcelDatos,0,6,0,0,0,2,0,2,0,2
JailQ,com.example.JailQ.GUI,GestionCarcelGUI,7,396,0,2,2,84,0,7,0,6
JailQ,com.example.JailQ.GUI,GestionPresosGUI,379,797,38,10,91,164,31,13,10,10
JailQ,com.example.JailQ.GUI,EliminarPoliciaGUI,35,389,3,17,10,88,3,13,0,6
JailQ,com.example.JailQ.GUI,ListadoPresosGUI.new DefaultTableModel() {...},0,13,0,0,0,2,0,2,0,2
JailQ,com.example.JailQ.GUI,EstadisticasAvanzadasGUI,11,336,1,9,3,69,1,9,0,5
JailQ,com.example.JailQ.GUI,FiltrarPresosPorDelitoGUI,83,835,16,20,17,150,15,12,0,9
JailQ,com.example.JailQ.Facade,PresoController,196,164,0,2,35,30,3,7,3,6
JailQ,com.example.JailQ.Facade,CuentaController,48,215,2,4,10,41,2,8,0,7
JailQ,com.example.JailQ.Facade,CarcelController,13,344,0,4,3,64,0,11,0,9
